Entry Time,Exit Time,Gross,Lane,Lot,Rate,Ticket,Transaction Number
12/31/2010 16:37,1/1/2011 0:31,$8.00 ,18,8,3,8105,35413
12/31/2010 16:38,1/1/2011 0:49,$0.00 ,21,8,7,0,143
12/31/2010 16:39,1/1/2011 0:37,$0.00 ,29,5,7,0,98
12/31/2010 16:39,1/1/2011 1:02,$8.00 ,23,4,1,75094,168
12/31/2010 16:39,1/1/2011 11:51,$17.00 ,20,8,3,8107,2
12/31/2010 16:40,1/1/2011 1:06,$9.00 ,46,17,2,14844,162
12/31/2010 16:41,1/1/2011 0:48,$6.00 ,43,15,1,67351,15888
12/31/2010 16:41,1/1/2011 1:17,$8.00 ,23,4,1,75096,176
12/31/2010 16:41,1/1/2011 4:53,$6.00 ,24,6,2,38184,225
12/31/2010 16:42,1/1/2011 0:02,$0.00 ,27,2,7,0,251
12/31/2010 16:42,1/1/2011 0:07,$4.00 ,24,6,2,38185,148
12/31/2010 16:43,1/1/2011 0:17,$0.00 ,28,5,7,0,122
12/31/2010 16:44,1/1/2011 2:03,$8.00 ,20,8,3,8118,264
12/31/2010 16:45,1/1/2011 1:18,$8.00 ,22,4,1,75101,201
12/31/2010 16:46,1/1/2011 4:18,$4.00 ,24,6,2,19736,218
12/31/2010 16:48,1/1/2011 3:49,$0.00 ,20,8,7,0,320
12/31/2010 16:50,1/1/2011 0:52,$4.00 ,24,6,2,19737,187
12/31/2010 16:50,1/1/2011 1:12,$0.00 ,20,8,7,0,238
12/31/2010 16:51,1/1/2011 3:27,$6.00 ,43,15,1,67356,15912
12/31/2010 16:52,1/1/2011 0:07,$9.00 ,47,17,2,14847,170
12/31/2010 16:52,1/1/2011 0:17,$0.00 ,28,5,7,0,123
12/31/2010 16:52,1/1/2011 4:34,$0.00 ,27,2,7,0,359
12/31/2010 16:53,1/1/2011 1:29,$0.00 ,27,2,7,0,291
12/31/2010 16:54,1/1/2011 0:18,$9.00 ,41,21,2,3021,165
12/31/2010 16:54,1/1/2011 0:21,$9.00 ,41,21,2,3020,168
12/31/2010 16:54,1/1/2011 4:27,$4.00 ,24,6,2,38188,223
12/31/2010 16:55,1/1/2011 0:35,$8.00 ,17,4,1,75120,1946
12/31/2010 16:55,1/1/2011 0:56,$9.00 ,46,17,2,7513,156
12/31/2010 16:56,1/1/2011 2:12,$8.00 ,22,4,1,75121,215
12/31/2010 16:58,1/1/2011 0:17,$8.00 ,22,4,1,75122,187
12/31/2010 16:59,1/1/2011 1:10,$8.00 ,22,4,1,75126,196
12/31/2010 17:00,1/1/2011 4:08,$10.00 ,47,17,2,14848,191
12/31/2010 17:04,1/1/2011 1:32,$0.00 ,27,2,7,0,294
12/31/2010 17:06,1/1/2011 1:32,$0.00 ,29,5,7,0,107
12/31/2010 17:07,1/1/2011 0:26,$7.00 ,4,2,6,458,48242
12/31/2010 17:07,1/1/2011 1:05,$7.00 ,27,2,6,459,272
12/31/2010 17:07,1/1/2011 2:01,$0.00 ,27,2,7,0,317
12/31/2010 17:10,1/1/2011 0:11,$0.00 ,25,7,7,0,42
12/31/2010 17:10,1/1/2011 1:49,$6.00 ,44,15,1,67368,37166
12/31/2010 17:11,1/1/2011 0:10,$7.00 ,4,2,6,466,48228
12/31/2010 17:11,1/1/2011 0:57,$3.00 ,24,6,2,38189,191
12/31/2010 17:11,1/1/2011 1:11,$0.00 ,20,8,7,0,236
12/31/2010 17:12,1/1/2011 0:39,$3.00 ,24,6,2,38190,178
12/31/2010 17:13,1/1/2011 0:19,$7.00 ,4,2,6,467,48238
12/31/2010 17:14,1/1/2011 0:07,$9.00 ,46,17,2,7515,134
